wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
23,8,0,175.26,170.18,Orthodox,2.15,51,1.9,67,0.82,30,41,2.5,win
15,6,0,193.04,200.66,Southpaw,2.42,49,1.6,53,0,0,28,2.5,win
10,3,0,182.88,185.42,Switch,3.61,51,3.03,51,4.48,54,71,2.5,win
45,17,2,177.8,182.88,Orthodox,1.84,44,1.99,42,0.46,50,57,2.5,win
7,5,0,178.2343247,182.88,Orthodox,1.31,36,2.95,52,1.23,20,0,2.5,win
7,5,0,185.42,182.88,Orthodox,0.92,48,1.87,47,1.46,30,50,2.5,win
28,17,2,185.42,182.88,Orthodox,1.47,46,4.3,39,0.94,60,44,2.5,win
6,5,0,182.88,182.88,Orthodox,2.54,41,2.37,48,7.63,75,0,2.5,win
6,3,0,177.8,175.26,Orthodox,1.14,35,1.55,66,1.22,100,25,2.5,win
8,1,0,185.42,187.96,Southpaw,3.59,73,2.45,40,7.34,100,100,2.5,win
8,0,0,187.96,182.88,Southpaw,2.5,71,0.17,84,7.51,85,0,2.5,win
11,1,0,175.26,180.34,Orthodox,3.67,35,3.37,60,0,0,60,2.5,win
8,5,0,180.34,182.88,Orthodox,2.47,50,2,57,0,0,11,2.5,win
7,0,0,167.64,167.64,Orthodox,4.5,51,2.85,60,2.47,50,0,2.5,win
14,9,0,182.88,182.88,Orthodox,3.01,47,1.19,76,0.49,18,36,2.5,win
17,12,5,167.64,182.88,Switch,0.73,44,1.2,47,0,0,23,2.5,win
16,10,0,182.88,182.88,Switch,1.74,34,2.5,67,2.5,25,14,2.5,win
14,5,0,193.04,193.04,Switch,2.07,49,1.6,46,2.28,50,33,2.5,win
12,2,0,198.12,182.88,Orthodox,1.28,48,1.92,50,0.51,100,0,2.5,win
20,2,0,190.5,200.66,Orthodox,2.78,64,0.52,43,5.14,55,75,2.4,win
18,8,0,177.8,182.88,Orthodox,6.99,46,4.02,60,0,0,66,2.4,win
21,18,1,187.96,182.88,Southpaw,1.54,56,2.5,38,0.8,50,25,2.4,win
11,2,0,193.04,182.88,Southpaw,3.93,60,2.97,54,1.2,40,16,2.4,win
11,2,0,190.5,203.2,Orthodox,2.38,70,1.95,40,8.93,78,50,2.4,win
26,13,0,190.5,190.5,Orthodox,3.21,58,1.84,50,1.35,36,28,2.4,win
11,2,0,175.26,175.26,Orthodox,2.79,46,1.47,63,2.37,26,16,2.4,win
20,3,0,177.8,185.42,Orthodox,4.19,46,3.48,41,0.97,25,56,2.4,win
17,6,0,180.34,180.34,Orthodox,3.52,51,6.88,39,4.8,40,0,2.4,win
25,9,0,177.8,185.42,Orthodox,1.86,48,4.79,38,2.08,46,25,2.4,win
